OpenT,HighT,LowT,CloseT,Range,Return,SMA_F,SMA_S,SMA_Diff,RSI,ADX,Volume,Delta,LabelLong,LabelShort
92590,92592,92569,92579,5.75,-2.25,23144.3392857143,23122.765,21.5742857142868,57.326400213529,29.8619829838456,202,908,0,1
92583,92622,92583,92588,9.75,2.25,23144.8214285714,23123.855,20.966428571428,59.0246009675937,29.2945634617594,288,-166,1,0
92586,92590,92560,92563,7.5,-6.25,23145.3571428571,23124.865,20.4921428571397,52.7455015614906,27.7850326825682,190,179,0,1
92560,92626,92560,92624,16.5,15.25,23146.9107142857,23126.095,20.8157142857126,63.0690553525539,27.4316412556263,185,-179,1,0
92621,92625,92600,92616,6.25,-2,23147.4821428571,23127.385,20.0971428571429,61.1812835850688,27.103492073466,183,326,0,1
92615,92651,92613,92648,9.5,8,23149.1428571429,23128.855,20.2878571428591,65.6148096685182,27.4494424940379,348,-171,1,0
92644,92645,92625,92632,5,-4,23150.0714285714,23130.23,19.841428571428,61.813393881105,27.7706821702833,171,-93,0,1
92632,92641,92618,92641,5.75,2.25,23151.0714285714,23131.645,19.4264285714271,63.1081303364616,27.7339176693124,187,-169,1,0
92639,92640,92608,92621,8,-5,23151.4464285714,23133.055,18.3914285714272,58.3717638326951,27.2284109833614,169,-144,0,1
92619,92627,92596,92619,7.75,-0.5,23151.7678571429,23134.38,17.3878571428577,57.9037578335945,26.2177229911503,206,145,1,0
92618,92640,92610,92631,7.5,3,23152.125,23135.9,16.2249999999985,59.977200360976,25.7031032675163,193,-153,1,0
92628,92629,92604,92612,6.25,-4.75,23152.5892857143,23137.03,15.5592857142874,55.330246937782,24.9462398740242,153,-47,0,1
92613,92621,92590,92592,7.75,-5,23152.75,23137.985,14.7649999999994,50.8629506387791,23.6170262805926,173,13,0,1
92595,92616,92570,92572,11.5,-5,23152.4642857143,23138.635,13.8292857142878,46.7942190804719,22.2743181753631,271,177,0,1
92577,92627,92564,92623,15.75,12.75,23153.25,23139.39,13.8600000000006,56.3771143412441,20.77711380331,237,-177,1,0
92621,92621,92582,92583,9.75,-10,23153.1607142857,23139.795,13.3657142857155,48.9329817700206,19.3868526006893,177,-215,0,1
92583,92586,92555,92559,7.75,-6,23153.0892857143,23140.23,12.8592857142867,45.0862548941014,18.9414450662567,231,-318,0,1
92557,92559,92526,92549,8.25,-2.5,23151.75,23140.625,11.125,43.5500410264135,19.4071085052422,328,132,0,1
92547,92562,92538,92541,6,-2,23150.4107142857,23140.92,9.49071428571551,42.3080868372626,19.7002064339648,230,186,0,1
92542,92567,92536,92537,7.75,-1,23148.4285714286,23140.99,7.43857142857087,41.6682388024868,19.7329042136422,198,-202,0,1
92535,92535,92521,92533,3.5,-1,23146.6607142857,23141.18,5.48071428571347,41.0004687192629,20.2230655211063,202,-115,0,1
92535,92550,92508,92544,10.5,2.75,23144.9285714286,23141.41,3.51857142857261,43.6737815700651,19.955814244852,515,196,1,0
92544,92562,92541,92552,5.25,2,23143.6964285714,23141.845,1.85142857142637,45.6041876501564,19.1718737972161,228,177,1,0
92551,92588,92545,92575,10.75,5.75,23142.9107142857,23142.24,0.670714285712165,50.822467306344,18.1778359514052,227,135,1,0
92572,92598,92568,92573,7.5,-0.5,23141.875,23142.485,-0.610000000000582,50.3699654357341,17.602170455545,161,8,1,0
92568,92584,92560,92564,6,-2.25,23141.0178571429,23142.66,-1.64214285714115,48.2864942145239,16.7345203633102,240,29,0,1
92563,92580,92548,92567,8,0.75,23140.5714285714,23143.015,-2.44357142857189,49.0431216704531,15.6318573439281,133,-148,1,0
92569,92580,92542,92564,9.5,-0.75,23140.4285714286,23143.44,-3.01142857142622,48.2823554026566,14.8429298127569,250,-75,0,1
92567,92572,92539,92545,8.25,-4.75,23139.0357142857,23143.67,-4.63428571428449,43.6627848578261,14.2305054736938,141,23,0,1
92542,92567,92533,92562,8.5,4.25,23138.6607142857,23144.05,-5.38928571428551,48.4182121880454,13.9067503474242,157,141,1,0
92558,92591,92558,92582,8.25,5,23139.0714285714,23144.435,-5.36357142857378,53.4016648014308,13.2873919663453,181,-107,1,0
92579,92592,92560,92591,8,2.25,23139.8214285714,23144.63,-4.80857142857349,55.4858175298575,12.7533707573944,157,242,1,0
92592,92610,92591,92599,4.75,2,23140.8571428571,23144.93,-4.07285714285899,57.3134237357664,12.9659331921439,242,245,1,0
92599,92624,92590,92619,8.5,5,23142.3214285714,23145.265,-2.94357142857189,61.5622314930702,13.6511903903365,321,-296,1,0
92619,92624,92589,92593,8.75,-6.5,23143.3928571429,23145.455,-2.06214285714304,54.0328139807171,14.2332582823335,380,-99,0,1
92594,92614,92579,92605,8.75,3,23144.4821428571,23145.84,-1.35785714285885,56.6670681804976,14.2295348738548,191,48,1,0
92606,92616,92588,92593,7,-3,23145.2142857143,23145.975,-0.760714285712311,53.373118040115,14.3075681149658,144,-111,0,1
92593,92595,92577,92594,4.5,0.25,23145.5535714286,23146.14,-0.58642857142695,53.6150907708273,13.7787602438385,121,267,1,0
92595,92639,92593,92628,11.5,8.5,23146.5357142857,23146.615,-0.0792857142878347,61.0216586359633,14.8784360085924,269,281,1,0
92626,92648,92624,92637,6,2.25,23147.8392857143,23147.115,0.724285714284633,62.7186521277564,16.1527993730918,385,431,1,0
92640,92684,92629,92676,13.75,9.75,23149.7857142857,23147.575,2.21071428571304,69.0141130803406,18.1885823359723,483,192,1,0
92676,92695,92668,92692,6.75,4,23152.0714285714,23148.26,3.81142857142913,71.1653611996142,20.2969758558901,328,121,1,0
92689,92711,92680,92680,7.75,-3,23154.4821428571,23148.76,5.7221428571429,67.3866278806549,22.5517951112412,283,-61,0,1
92683,92685,92664,92675,5.25,-1.25,23156.5,23149.21,7.29000000000087,65.8184381725806,23.789900313751,161,204,0,1
92677,92697,92676,92687,5.25,3,23158.375,23149.645,8.72999999999956,67.757743661262,25.1967546005346,204,169,1,0
92692,92702,92683,92692,4.75,1.25,23160.1785714286,23150.1,10.0785714285739,68.5581955395778,26.6087712453802,235,-166,1,0
92691,92695,92670,92680,6.25,-3,23161.625,23150.445,11.1800000000003,64.4243363423721,27.2129170783538,200,-84,0,1
92674,92699,92659,92668,10,-3,23162.5,23150.855,11.6450000000004,60.4960086610362,27.2088004274125,230,-262,0,1
92668,92669,92623,92638,11.5,-7.5,23163.3035714286,23151.13,12.1735714285714,51.9651182026557,25.6507853850494,274,-310,0,1
92636,92637,92583,92587,13.5,-12.75,23162.9821428571,23151.125,11.8571428571413,41.3022320880929,24.7126129359906,310,120,0,1
92584,92602,92581,92593,5.25,1.5,23162.9821428571,23151.195,11.7871428571416,42.7895505490253,23.898120801672,194,-10,1,0
92596,92605,92575,92583,7.5,-2.5,23162.7857142857,23151.17,11.6157142857155,40.9281578236825,23.3180635537966,168,148,0,1
92582,92610,92580,92608,7.5,6.25,23162.4285714286,23151.395,11.033571428572,47.1212323315541,22.573448152077,154,36,1,0
92608,92616,92600,92603,4,-1.25,23161.8214285714,23151.29,10.5314285714267,46.0806907267673,21.6305418722548,146,66,0,1
92601,92628,92597,92624,7.75,5.25,23160.8928571429,23151.33,9.56285714285696,50.9770802234979,20.2632623952225,94,142,1,0
92627,92653,92622,92627,7.75,0.75,23159.7321428571,23151.225,8.50714285714275,51.6525284219802,19.5439918252065,152,-25,1,0
92629,92631,92622,92624,2.25,-0.75,23158.7321428571,23151.185,7.54714285713999,50.8973103225781,18.8760977244774,65,-217,0,1
92622,92622,92587,92598,8.75,-6.5,23157.3571428571,23150.97,6.38714285714013,44.7856840043684,18.116525970304,217,-121,0,1
92599,92601,92580,92592,5.25,-1.5,23155.6607142857,23150.825,4.83571428571304,43.487927376962,17.6391683033742,167,-27,0,1
92593,92606,92579,92601,6.75,2.25,23154.0357142857,23150.735,3.30071428571318,46.014918674439,16.9885027076303,193,-122,1,0
92600,92606,92581,92605,6.25,1,23152.6964285714,23150.605,2.09142857142797,47.1461241945686,16.3843132258682,180,-72,1,0
92606,92611,92574,92598,9.25,-1.75,23151.4464285714,23150.535,0.911428571427678,45.3550398385592,16.0884863237289,118,31,0,1
92601,92605,92586,92599,4.75,0.25,23150.75,23150.57,0.180000000000291,45.6725633597419,15.8137899145995,111,90,0,1
92601,92613,92593,92606,5,1.75,23151.0892857143,23150.74,0.349285714284633,47.9524276151855,15.149392713556,112,39,1,0
92601,92617,92600,92609,4.25,0.75,23151.375,23150.67,0.705000000001746,48.941360708949,14.3288968976802,145,52,1,0
92609,92618,92592,92592,6.5,-4.25,23151.5357142857,23150.715,0.82071428571362,43.8561465029306,13.9419474479515,172,-91,0,1
92594,92599,92571,92575,7,-4.25,23150.9464285714,23150.795,0.151428571429278,39.4426390857813,14.4510481356401,141,236,0,1
